"Deputado","Partido","UF","Grau de Articulação","Bloco Informal"
"Gilberto Nascimento","PSD","SP",0.0543901258737341,"1"
"Cleber Verde","MDB","MA",0.03922652392627229,"4"
"Márcio Correa","MDB","GO",0.03250044353642351,"2"
"Professora Goreth","PDT","AP",0.030350949770003584,"3"
"Dr. Daniel Soranz","PSD","RJ",0.02917401471538276,"4"
"Any Ortiz","CIDADANIA","RS",0.02917401471538276,"4"
"Pedro Westphalen","PP","RS",0.02697592333395859,"1"
"Duda Ramos","MDB","RR",0.02653078627970289,"2"
"Zé Vitor","PL","MG",0.024882997925988564,"3"
"Messias Donato","REPUBLICANOS","ES",0.021512077999026935,"1"
